Solute_SMILES,Solvent_SMILES,T,log-gamma,source_file,solute_rdkit_valid,solute_canonical_isomeric,solute_canonical_nonisomeric,solute_rdkit_isomeric_flag,solute_heuristic_isomer_flag,solute_isomer_detection_method,solute_isomer_collision_group,solute_collision_group_id,solvent_rdkit_valid,solvent_canonical_isomeric,solvent_canonical_nonisomeric,solvent_rdkit_isomeric_flag,solvent_heuristic_isomer_flag,solvent_isomer_detection_method,solvent_isomer_collision_group,solvent_collision_group_id,isomer_subset_flag,isomer_detection_reason
C(C(CO)O)O,CO,25.0,0.179,molecule_train.csv,True,OCC(O)CO,OCC(O)CO,False,False,none,False,,True,CO,CO,False,False,none,False,,False,
C(CCl)Cl,CC(=O)N(C)C,30.41,-0.608806032,molecule_train.csv,True,ClCCCl,ClCCCl,False,False,none,False,,True,CC(=O)N(C)C,CC(=O)N(C)C,False,False,none,False,,False,
CC1=CC=C(C=C1)C,CCCCCCCCCCCCCCCCCC,45.0,-0.114289146,molecule_train.csv,True,Cc1ccc(C)cc1,Cc1ccc(C)cc1,False,False,none,False,,True,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC,False,False,none,False,,False,
CCCCC,CC1=CC=CC2=CC=CC=C12,25.0,1.115141591,molecule_train.csv,True,CCCCC,CCCCC,False,False,none,False,,True,Cc1cccc2ccccc12,Cc1cccc2ccccc12,False,False,none,False,,False,
CC1=CCC2CC1C2(C)C,C1=CC=CC=C1,80.05,0.336472237,molecule_train.csv,True,CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,False,False,none,False,,True,c1ccccc1,c1ccccc1,False,False,none,False,,False,
CCC(=O)C,CCN(CC)C(=O)C,50.05,0.029558802,molecule_train.csv,True,CCC(C)=O,CCC(C)=O,False,False,none,False,,True,CCN(CC)C(C)=O,CCN(CC)C(C)=O,False,False,none,False,,False,
CC(CCl)Cl,C1=CC=NC=C1,25.0,-0.072570693,molecule_train.csv,True,CC(Cl)CCl,CC(Cl)CCl,False,False,none,False,,True,c1ccncc1,c1ccncc1,False,False,none,False,,False,
CCC=O,C1CCOC1,20.55,0.139761942,molecule_train.csv,True,CCC=O,CCC=O,False,False,none,False,,True,C1CCOC1,C1CCOC1,False,False,none,False,,False,
CC1=CC=CC=C1,CO,64.05,2.22028985,molecule_train.csv,True,Cc1ccccc1,Cc1ccccc1,False,False,none,False,,True,CO,CO,False,False,none,False,,False,
CC(C)CC(C)C,CCCCCCCCCCCCCCCC,90.0,-0.151986357,molecule_train.csv,True,CC(C)CC(C)C,CC(C)CC(C)C,False,False,none,False,,True,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,False,False,none,False,,False,
CCC(C)CCC(C)C,C1=CC=C(C=C1)CO,25.0,3.058707073,molecule_train.csv,True,CCC(C)CCC(C)C,CCC(C)CCC(C)C,False,False,none,False,,True,OCc1ccccc1,OCc1ccccc1,False,False,none,False,,False,
CCCCOP(=O)(OCCCC)OCCCC,CCCCCC,25.0,1.027617415,molecule_train.csv,True,CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCCCC,False,False,none,False,,True,CCCCCC,CCCCCC,False,False,none,False,,False,
CC(=O)OC,C1COCCN1C=O,69.6,0.524728529,molecule_train.csv,True,COC(C)=O,COC(C)=O,False,False,none,False,,True,O=CN1CCOCC1,O=CN1CCOCC1,False,False,none,False,,False,
CCCCCO,C(CNCCNCCNCCN)N,90.0,0.438254931,molecule_train.csv,True,CCCCCO,CCCCCO,False,False,none,False,,True,NCCNCCNCCNCCN,NCCNCCNCCNCCN,False,False,none,False,,False,
CC(C)C=C,CCCCCCC,25.0,-0.030459207,molecule_train.csv,True,C=CC(C)C,C=CC(C)C,False,False,none,False,,True,CCCCCCC,CCCCCCC,False,False,none,False,,False,
CCCC(C)C,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,53.2,0.864154977,molecule_train.csv,True,CCCC(C)C,CCCC(C)C,False,False,none,False,,True,CCCCOC(=O)c1ccccc1C(=O)OCCCC,CCCCOC(=O)c1ccccc1C(=O)OCCCC,False,False,none,False,,False,
C[N+](=O)[O-],CCCCCCCCCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,40.0,1.909542505,molecule_train.csv,True,C[N+](=O)[O-],C[N+](=O)[O-],False,False,none,False,,True,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False,False,none,False,,False,
CCCCC=C,C1CCC(CC1)C2=CC=CC=C2,25.0,0.277631737,molecule_train.csv,True,C=CCCCC,C=CCCCC,False,False,none,False,,True,c1ccc(C2CCCCC2)cc1,c1ccc(C2CCCCC2)cc1,False,False,none,False,,False,
C(=S)=S,CC1=CC=CC=C1,0.0,0.2390169,molecule_train.csv,True,S=C=S,S=C=S,False,False,none,False,,True,Cc1ccccc1,Cc1ccccc1,False,False,none,False,,False,
CCCCCC,C(Cl)(Cl)Cl,46.65,0.58221562,molecule_train.csv,True,CCCCCC,CCCCCC,False,False,none,False,,True,ClC(Cl)Cl,ClC(Cl)Cl,False,False,none,False,,False,
CCC1=CC=CC=C1,CCCOC(=O)C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OCCC,100.0,-0.436955775,molecule_train.csv,True,CCc1ccccc1,CCc1ccccc1,False,False,none,False,,True,CCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)OCCC,CCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)OCCC,False,False,none,False,,False,
CCC1=CC=CC=C1,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,75.0,-0.39,molecule_train.csv,True,CCc1ccccc1,CCc1ccccc1,False,False,none,False,,True,CCCCOC(=O)c1ccccc1C(=O)OCCCC,CCCCOC(=O)c1ccccc1C(=O)OCCCC,False,False,none,False,,False,
CCN(CC)CC,C1CCCCC1,25.0,0.029558802,molecule_train.csv,True,CCN(CC)CC,CCN(CC)CC,False,False,none,False,,True,C1CCCCC1,C1CCCCC1,False,False,none,False,,False,
CC(C)O,CCCCCCCCCCCCCC(=O)O,41.09,0.351360849,molecule_train.csv,True,CC(C)O,CC(C)O,False,False,none,False,,True,CCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCC(=O)O,False,False,none,False,,False,
CC(=C)C,CCC(C)(C)O,6.85,0.924258902,molecule_train.csv,True,C=C(C)C,C=C(C)C,False,False,none,False,,True,CCC(C)(C)O,CCC(C)(C)O,False,False,none,False,,False,
C/C=C\C,CC(C)CO,36.84,1.137833002,molecule_train.csv,True,C/C=C\C,CC=CC,True,True,rdkit+heuristic,True,solute_iso_collision_0001,True,CC(C)CO,CC(C)CO,False,False,none,False,,True,solute:rdkit;solute:heuristic;solute:collision
CCCCCCCCCC,C(COCCOCCOCCO)O,90.0,4.319191994,molecule_train.csv,True,CCCCCCCCCC,CCCCCCCCCC,False,False,none,False,,True,OCCOCCOCCOCCO,OCCOCCOCCOCCO,False,False,none,False,,False,
C(=S)=S,C1=CC=C(C=C1)N,25.0,1.241268589,molecule_train.csv,True,S=C=S,S=C=S,False,False,none,False,,True,Nc1ccccc1,Nc1ccccc1,False,False,none,False,,False,
CCCCC,CCCCCCCCCCCCCCCCCCCCCC,60.0,-0.107585211,molecule_train.csv,True,CCCCC,CCCCC,False,False,none,False,,True,CCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCC,False,False,none,False,,False,
CCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,29.85,-0.446287103,molecule_train.csv,True,CCCCCC,CCCCCC,False,False,none,False,,True,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,False,False,none,False,,False,
C1=CC=C(C=C1)CCl,CCCCCCCCCCCCCC(=O)O,60.11,0.479334957,molecule_train.csv,True,ClCc1ccccc1,ClCc1ccccc1,False,False,none,False,,True,CCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCC(=O)O,False,False,none,False,,False,
CCO,CCCCCCCCCC(=O)CCCCCCCCC,69.8,1.033895974,molecule_train.csv,True,CCO,CCO,False,False,none,False,,True,CCCCCCCCCC(=O)CCCCCCCCC,CCCCCCCCCC(=O)CCCCCCCCC,False,False,none,False,,False,
C1CCCCC1,C(CCCC#N)CCC#N,25.0,1.809926773,molecule_train.csv,True,C1CCCCC1,C1CCCCC1,False,False,none,False,,True,N#CCCCCCCC#N,N#CCCCCCCC#N,False,False,none,False,,False,
CC1CCCCC1,C(C(CO)O)O,60.0,5.314387547,molecule_train.csv,True,CC1CCCCC1,CC1CCCCC1,False,False,none,False,,True,OCC(O)CO,OCC(O)CO,False,False,none,False,,False,
C1CCCCC1,C1CCS(=O)(=O)C1,279.55,1.465336568,molecule_train.csv,True,C1CCCCC1,C1CCCCC1,False,False,none,False,,True,O=S1(=O)CCCC1,O=S1(=O)CCCC1,False,False,none,False,,False,
COC,CC1=CC=CC=C1,56.84,0.157003749,molecule_train.csv,True,COC,COC,False,False,none,False,,True,Cc1ccccc1,Cc1ccccc1,False,False,none,False,,False,
CCCCCC,CCCCCCCCCCCCCCCC(=O)O,108.3,0.357674444,molecule_train.csv,True,CCCCCC,CCCCCC,False,False,none,False,,True,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O,False,False,none,False,,False,
CC1=CC=CC=C1,CC1=CC=C(C=C1)C,25.0,-0.030459207,molecule_train.csv,True,Cc1ccccc1,Cc1ccccc1,False,False,none,False,,True,Cc1ccc(C)cc1,Cc1ccc(C)cc1,False,False,none,False,,False,
C1=CC=CC=C1,CCCCCCC#N,25.0,-0.105360516,molecule_train.csv,True,c1ccccc1,c1ccccc1,False,False,none,False,,True,CCCCCCC#N,CCCCCCC#N,False,False,none,False,,False,
CCCCCCCC,CCCCCCCCCC(=O)CCCCCCCCC,89.6,0.067658648,molecule_train.csv,True,CCCCCCCC,CCCCCCCC,False,False,none,False,,True,CCCCCCCCCC(=O)CCCCCCCCC,CCCCCCCCCC(=O)CCCCCCCCC,False,False,none,False,,False,
CCOCC,CCCCOCCOCCOCCOCCCC,70.0,-0.263965546,molecule_train.csv,True,CCOCC,CCOCC,False,False,none,False,,True,CCCCOCCOCCOCCOCCCC,CCCCOCCOCCOCCOCCCC,False,False,none,False,,False,
CC=C,CCC(CC)O,46.85,0.88376754,molecule_train.csv,True,C=CC,C=CC,False,False,none,False,,True,CCC(O)CC,CCC(O)CC,False,False,none,False,,False,
CC1=CC=CC=C1,CC(=O)C,45.25,0.636576829,molecule_train.csv,True,Cc1ccccc1,Cc1ccccc1,False,False,none,False,,True,CC(C)=O,CC(C)=O,False,False,none,False,,False,
C(=C(Cl)Cl)Cl,CCCCOCCOCCOCCCC,70.0,-0.677273831,molecule_train.csv,True,ClC=C(Cl)Cl,ClC=C(Cl)Cl,False,False,none,False,,True,CCCCOCCOCCOCCCC,CCCCOCCOCCOCCCC,False,False,none,False,,False,
CCCCCCCC,C(CO)O,39.85,6.82355812,molecule_train.csv,True,CCCCCCCC,CCCCCCCC,False,False,none,False,,True,OCCO,OCCO,False,False,none,False,,False,
C(Cl)(Cl)Cl,CC(=O)OC,49.55,-0.579818495,molecule_train.csv,True,ClC(Cl)Cl,ClC(Cl)Cl,False,False,none,False,,True,COC(C)=O,COC(C)=O,False,False,none,False,,False,
CCOC(C)(C)C,C(CC#N)CC#N,30.0,2.681021529,molecule_train.csv,True,CCOC(C)(C)C,CCOC(C)(C)C,False,False,none,False,,True,N#CCCCC#N,N#CCCCC#N,False,False,none,False,,False,
CC(=O)C,C1CCS(=O)(=O)C1,61.05,0.385262401,molecule_train.csv,True,CC(C)=O,CC(C)=O,False,False,none,False,,True,O=S1(=O)CCCC1,O=S1(=O)CCCC1,False,False,none,False,,False,
CCC(C)CC(C)(C)C,CCCCOC(=O)C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OCCCC,120.0,0.565313809,molecule_train.csv,True,CCC(C)CC(C)(C)C,CCC(C)CC(C)(C)C,False,False,none,False,,True,CCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)OCCCC,CCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)OCCCC,False,False,none,False,,False,
C(Cl)Cl,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,74.1,-0.318828801,molecule_train.csv,True,ClCCl,ClCCl,False,False,none,False,,True,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,False,False,none,False,,False,
C1=CC=CC=C1,C1COC(=O)O1,110.0,1.485460733,molecule_train.csv,True,c1ccccc1,c1ccccc1,False,False,none,False,,True,O=C1OCCO1,O=C1OCCO1,False,False,none,False,,False,
CCCCCCCCCCO,CCCO,25.0,0.107,molecule_train.csv,True,CCCCCCCCCCO,CCCCCCCCCCO,False,False,none,False,,True,CCCO,CCCO,False,False,none,False,,False,
CCCCC=C,CCCCCCCCCC(=O)CCCCCCCCC,69.8,-0.115410852,molecule_train.csv,True,C=CCCCC,C=CCCCC,False,False,none,False,,True,CCCCCCCCCC(=O)CCCCCCCCC,CCCCCCCCCC(=O)CCCCCCCCC,False,False,none,False,,False,
C1=CC=CC=C1,CCCCCCCCCCCCCCCCCC,80.0,-0.188742125,molecule_train.csv,True,c1ccccc1,c1ccccc1,False,False,none,False,,True,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC,False,False,none,False,,False,
CC1=CC=CC=C1,C(CCCCCN)CCCCN,65.05,0.923067716,molecule_train.csv,True,Cc1ccccc1,Cc1ccccc1,False,False,none,False,,True,NCCCCCCCCCCN,NCCCCCCCCCCN,False,False,none,False,,False,
CC1=CC=CC=C1,C1COCCN1C=O,49.85,1.156881197,molecule_train.csv,True,Cc1ccccc1,Cc1ccccc1,False,False,none,False,,True,O=CN1CCOCC1,O=CN1CCOCC1,False,False,none,False,,False,
CCOCC,CCO,25.0,0.401,molecule_train.csv,True,CCOCC,CCOCC,False,False,none,False,,True,CCO,CCO,False,False,none,False,,False,
CCCCCC,CCC(C)(C)C,25.0,0.004,molecule_train.csv,True,CCCCCC,CCCCCC,False,False,none,False,,True,CCC(C)(C)C,CCC(C)(C)C,False,False,none,False,,False,
CCCl,C=CC1=CC=CC=C1,16.83,-0.020202707,molecule_train.csv,True,CCCl,CCCl,False,False,none,False,,True,C=Cc1ccccc1,C=Cc1ccccc1,False,False,none,False,,False,
CCC#N,CCCCCCC,20.05,3.086486637,molecule_train.csv,True,CCC#N,CCC#N,False,False,none,False,,True,CCCCCCC,CCCCCCC,False,False,none,False,,False,
CCCCC=C,CCCCCCCCO,20.25,0.887891257,molecule_train.csv,True,C=CCCCC,C=CCCCC,False,False,none,False,,True,CCCCCCCCO,CCCCCCCCO,False,False,none,False,,False,
CCO,CCCCCCCCCCCCCCCC,25.0,3.548179572,molecule_train.csv,True,CCO,CCO,False,False,none,False,,True,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,False,False,none,False,,False,
C(=C(Cl)Cl)Cl,CCCCCCCCCC(=O)O,40.95,0.046883586,molecule_train.csv,True,ClC=C(Cl)Cl,ClC=C(Cl)Cl,False,False,none,False,,True,CCCCCCCCCC(=O)O,CCCCCCCCCC(=O)O,False,False,none,False,,False,
CCCCC,CNC=O,60.0,3.198264871,molecule_train.csv,True,CCCCC,CCCCC,False,False,none,False,,True,CNC=O,CNC=O,False,False,none,False,,False,
CCC(=O)O,C(COC(C(C(O)OCCC#N)(C(O)OCCC#N)C(O)OCCC#N)O)C#N,120.0,-0.597837001,molecule_train.csv,True,CCC(=O)O,CCC(=O)O,False,False,none,False,,True,N#CCCOC(O)C(C(O)OCCC#N)(C(O)OCCC#N)C(O)OCCC#N,N#CCCOC(O)C(C(O)OCCC#N)(C(O)OCCC#N)C(O)OCCC#N,False,False,none,False,,False,
CC=C,CC1=CC=CC=C1,-23.22,0.431782416,molecule_train.csv,True,C=CC,C=CC,False,False,none,False,,True,Cc1ccccc1,Cc1ccccc1,False,False,none,False,,False,
CC=C,CC1=CC=CC=C1O,46.84,1.280933845,molecule_train.csv,True,C=CC,C=CC,False,False,none,False,,True,Cc1ccccc1O,Cc1ccccc1O,False,False,none,False,,False,
COC,C=CC1=CC=CC=C1,16.83,0.058268908,molecule_train.csv,True,COC,COC,False,False,none,False,,True,C=Cc1ccccc1,C=Cc1ccccc1,False,False,none,False,,False,
CC1CCCCC1,CC1=CC=CC=C1,75.0,0.246860078,molecule_train.csv,True,CC1CCCCC1,CC1CCCCC1,False,False,none,False,,True,Cc1ccccc1,Cc1ccccc1,False,False,none,False,,False,
C(=S)=S,CCCCCCCC,0.0,0.231111721,molecule_train.csv,True,S=C=S,S=C=S,False,False,none,False,,True,CCCCCCCC,CCCCCCCC,False,False,none,False,,False,
CC1CCCC1,CC(=O)C1=CC=CS1,30.0,1.944480556,molecule_train.csv,True,CC1CCCC1,CC1CCCC1,False,False,none,False,,True,CC(=O)c1cccs1,CC(=O)c1cccs1,False,False,none,False,,False,
CCCCCCCCC,CCO,47.75,2.939161922,molecule_train.csv,True,CCCCCCCCC,CCCCCCCCC,False,False,none,False,,True,CCO,CCO,False,False,none,False,,False,
CC(=O)C,CCCCOP(=O)(OCCCC)OCCCC,25.05,-0.020202707,molecule_train.csv,True,CC(C)=O,CC(C)=O,False,False,none,False,,True,CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCCCC,False,False,none,False,,False,
CCCC=O,CN1CCCC1=O,60.05,0.392042088,molecule_train.csv,True,CCCC=O,CCCC=O,False,False,none,False,,True,CN1CCCC1=O,CN1CCCC1=O,False,False,none,False,,False,
CCCCCCC=C,CC1=CCC2CC1C2(C)C,80.05,0.139761942,molecule_train.csv,True,C=CCCCCCC,C=CCCCCCC,False,False,none,False,,True,CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,False,False,none,False,,False,
C1CCCCC1,C1COCCN1C=O,75.05,2.507157259,molecule_train.csv,True,C1CCCCC1,C1CCCCC1,False,False,none,False,,True,O=CN1CCOCC1,O=CN1CCOCC1,False,False,none,False,,False,
C1=CC=CC=C1,CC1CCCS1(=O)=O,25.0,0.405465108,molecule_train.csv,True,c1ccccc1,c1ccccc1,False,False,none,False,,True,CC1CCCS1(=O)=O,CC1CCCS1(=O)=O,False,False,none,False,,False,
CC1CCCCC1,C(C(CO)O)O,50.0,5.476965518,molecule_train.csv,True,CC1CCCCC1,CC1CCCCC1,False,False,none,False,,True,OCC(O)CO,OCC(O)CO,False,False,none,False,,False,
CCCCCCCC,CCCCCO,55.0,1.667706821,molecule_train.csv,True,CCCCCCCC,CCCCCCCC,False,False,none,False,,True,CCCCCO,CCCCCO,False,False,none,False,,False,
C=CC=C,CCC(CC)O,6.85,1.071583616,molecule_train.csv,True,C=CC=C,C=CC=C,False,False,none,False,,True,CCC(O)CC,CCC(O)CC,False,False,none,False,,False,
CC(C)CC(C)C,C1=CC=C(C=C1)C#N,25.0,1.962907725,molecule_train.csv,True,CC(C)CC(C)C,CC(C)CC(C)C,False,False,none,False,,True,N#Cc1ccccc1,N#Cc1ccccc1,False,False,none,False,,False,
C1=CC=C(C=C1)Br,CCCOCCO,25.0,0.58221562,molecule_train.csv,True,Brc1ccccc1,Brc1ccccc1,False,False,none,False,,True,CCCOCCO,CCCOCCO,False,False,none,False,,False,
CCCCCCCC=C,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,80.0,-0.342490309,molecule_train.csv,True,C=CCCCCCCC,C=CCCCCCCC,False,False,none,False,,True,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,False,False,none,False,,False,
